category,subCategory,question,anaswer
Insurance,Term Insurance,What is the purpose of an emergency response system and how does it work?,"Through electronic monitors, any medical emergency can easily be detected and responded to. The user usually has a bracelet which has a button that can be pushed during cases of emergency. Once the button is pushed, the individual receives help or assistance immediately after. This kind of a system is typically meant for people who are old and are living alone and are at higher risk."
Insurance,Term Insurance,Is long-term care important for a person who is relatively healthier than his/her peers?,"Yes. Life is uncertain and in order to deal with the unpredictable situations of life, one needs to be prepared financially. Long-term care will prove to be beneficial once you are a senior citizen and need some sort of healthcare service on a long-term basis."
Insurance,Term Insurance,How can I get more information about the services offered in long-term care insurance policies?,Select the insurance company you want to purchase the policy from. Read the terms and conditions thoroughly before you make the purchase. You can also compare multiple insurance companies online before determining who to buy from.
Insurance,Term Insurance,Is term insurance a good idea?,Long-term care insurance is provided by a lot of insurers in the world. Their services are directed towards catering to the needs of individuals over a short or extended period of time. These services are provided to help make the person more independent and safer at a time when they are less able to cater to their own needs.
Insurance,Term Insurance,Which is the best term insurance policy?,"LIC's e-term plan, Max Life Online Term plan, PNB Metlife Mera Term Plan, and ICICI Prudential iProtect Smart Plan are some of the best term insurance policies available in the market."
Insurance,Term Insurance,How much does term insurance cost?,"The premium rates for term insurance plans depend on your age, gender, income, and even your smoking habits. Based on these factors, the prices differ from one applicant to another. For instance, for a 26-year-old male applicant who smokes with an annual salary of Rs.7 lakh, the premium price for a sum assured of Rs.1 crore is Rs.933 per month."
Insurance,Term Insurance,Is natural death covered in term insurance?,"Yes, natural death is covered under term insurance policies."
Insurance,Term Insurance,What is terminal illness in term insurance?,"Terminal illness in term insurance refers to any critical illness that may lead to death. Death caused by terminal illness is covered under term insurance policies. However, diseases that are detected in the waiting period or before the beginning of the policy period are covered."
Insurance,Term Insurance,Does Term life insurance cover accidental death?,"Yes, term life insurance plans cover accidental death."
Insurance,Term Insurance,What is long-term care insurance?,Term insurance plans are one of the most essential insurance policies that you must invest in. With term plans you can avail a high sum assured amount with affordable premium rates. You can opt for term life plans if you are already saving systematically for your future financial goals.
Insurance,Term Insurance,Will every insurance company offer the riders?,No. The riders are offered at the desecration of the insurance providers so they can differ from one provider to the next.
Insurance,Term Insurance,Can I take more than 1 term insurance plans,"Yes, you can take more than 1 term insurance plans."
Insurance,Term Insurance,What if I want a sum assured that is in excess of Rs. 10 crore?,"In case the sum assured is really high, the decision to provide the policy will rest with the insurer and the policy issued only if the insurer is willing to insure for such high amounts."
Insurance,Term Insurance,Are there any situations under which the claims won't be honoured?,"Yes. If your claim falls under any of the exclusions mentioned in the policy, the claim won't be honoured."
Insurance,Term Insurance,What are some of the exclusions? ,"The exclusions can include indulgence in activities that are illegal. They also include participating in activities that are known to be dangerous, example extreme sports. In the case of the policyholder committing suicide within the first year, only the premium paid may be returned."
Insurance,Term Insurance,What is the benefit that I get for health lifestyles?,The main benefit that insurers offer for healthy lifestyles is a discount on the premiums payable.
Insurance,Term Insurance,Can I take a term insurance plan if I am an NRI?,Yes. If you are an NRI then you can still take term insurance cover.
Insurance,Term Insurance,Does term insurance have a free-look period?,"Yes. Term insurance has a free-look period of 15 days, from the day you receive the policy document, within which you can surrender the policy in case you are not satisfied with it and get the premium refunded. There may be some deductions involved."
Insurance,Term Insurance,Do I have to pay penalties if my payment is late but within the grace period?,Late payment policies may differ from one company to the other but generally if payments are made within the grace period then no interest is charged on the payment.
Insurance,Term Insurance,What is accidental death benefit?,Accidental death benefit is a rider or add-on to term insurance policies by which the dependent will receive a pre-determined amount of money in the event of the policyholder's death due to an accident.
Insurance,Term Insurance,What is the age limit for a term insurance policy?,"Different insurers and plans have different age limits for term insurance policies, with the limit ranging from 55 years to 70 years."
Insurance,Term Insurance,What is term insurance with monthly income?,"A.In such cases, the Sum Assured is decided on the policyholder's monthly income after taxes. The death benefit paid out is 12 times the monthly income, inflated at 5% annually throughout the term of the policy."
Insurance,Term Insurance,Can I alter the duration of the coverage after the policy has been issued?,"No, it is not possible to change the duration of the coverage after the policy has been issued. However, some policies allow for extensions in the coverage period."
Insurance,Term Insurance,What is the maximum tenure for a term insurance plan?,The maximum tenure for a term insurance plan depends on the insurance company and the type of plan opted for. The maximum tenure available is 40 years.
Insurance,Term Insurance,I smoke occasionally. Will I have to declare myself a smoker at the time of applying for the policy?,"If you have smoked in the last 12 months, you are required to declare yourself a smoker at the time of applying for a term insurance policy. If you do not and the insurer is made aware of this, you could risk losing your policy benefits."
Insurance,Term Insurance,How do I cancel my insurance policy?,"In most cases, Cancelling your insurance policy can be done by notifying the insurer within 15 days of the policy being issued."
Insurance,Term Insurance,Can I switch my term insurance plan to another insurance provider during the policy term?,"No, you cannot switch your term insurance policy to another provider during the policy term."
Insurance,Term Insurance,Can the dependent/nominee re-apply for a claim if it was rejected once?,"Yes, the nominee/dependent can re-apply for a claim if it was rejected before, and can approach the insurer's grievance redressal cell if necessary."
Insurance,Term Insurance,What is a term insurance policy?,Term insurances are the most inexpensive way of availing insurance coverage for a specific period of time. It is merely a risk cover and does not provide any benefits on survival.
Insurance,Term Insurance,Should I opt for a term insurance plan even if my employer provides an insurance coverage?,"Yes, it is advisable that you choose a term insurance plan even when your employer provides you an insurance coverage. This is because the insurance cover offered by your employer expires once you change the job."
Insurance,Term Insurance,What are the documents required for buying term insurance plans?,"The following documents are needed for buying term insurance plan : Proof of age, Proof of residence, Photo identity proof, Salary proof, Photograph."
Insurance,Term Insurance,What are the maturity benefits offered under term insurance plans?,"Except for TROP plans, term insurance plans do not offer maturity benefits. The sum assured is offered to the beneficiary only in case of death of the person insured."
Insurance,Term Insurance,Can I get loan on term insurance plans?,"No, policyholders are not eligible for loans as the policy doesn't come with maturity benefits nor does it attain surrender value."
Insurance,Term Insurance,What happens when I change my country of residence a few years after choosing the plan?,"The term insurance plan will continue to be active even when you relocate from India. However, make sure that you keep your insurer informed about such a change."
Insurance,Term Insurance,Is there any advantage in buying a term insurance plan at a young age?,"Generally term insurance plans are available at lower prices for people who in an early stage of their life. Therefore, buying a term plan at a young age is definitely beneficial."
Insurance,Term Insurance,What are the factors which influence term plan premiums?,"Term insurance premiums are affected by a number of factors such as the applicant's age, family's medical history, own health, weight, lifestyle habits like smoking, alcohol consumption, gender, etc."
Insurance,Term Insurance,Can I buy term insurance online?,"Yes, many insurers have an online presence and offer customers the facility to not only purchase, but also renew their term insurance policies online."
Insurance,Term Insurance,How do I purchase insurance online?,"To purchase insurance online, you will have to visit your preferred insurer's website, and input details like your sum assured, term, premium payment term, etc. You can use the premium calculator to find out the premiums that you will be expected to pay. Once you have arrived at a premium that is you are comfortable with, proceed to make the payment. After you have done that, you will receive an acknowledgement of the payment. The underwriting and approval process will take 3 or more days, post which the insurer will get back to you with their decision."
Insurance,Term Insurance,Is surrender value a part of term insurance plans?,"Surrender value is essentially the amount of money which an insured policyholder is entitled to receive if they discontinue their life insurance plan before it expires. Certain charges are usually deducted from the final surrender value that is payable to the insured. In case of term plans, the concept of surrender value is usually applicable for term plans with return of premium (TROP). Also, term insurance plans which allow single premium payment or limited premium payment options also may offer surrender value. Regular pay term plans will not offer surrender value."
Insurance,Term Insurance,Are terrorist attacks covered under term insurance plans?,"Yes, term plans will usually provide cover against death caused following a terrorist attack. However, the extent of this coverage may differ from insurer to insurer. Check with your insurer regarding this kind of specific coverage."
Insurance,Term Insurance,Can one insure their children/spouse instead of themselves?,"The way term plans work is to help an individual insure themselves under an individual plan. If they want to insure their spouse or children, they will have to buy individual term plans in their spouse or child's name."
Insurance,Term Insurance,Is it possible to change a nominee after the policy document has been drafted and the policy is in force?,"Yes, term insurance policies do include the provision of allowing the insured to change the nominee after the policy document has been drafted. This is especially required in situations wherein the insured may not be married at the time of purchasing the policy, in which case his/her parents are usually named as nominees. If the person gets married after purchasing the policy and wants to add their spouse as the nominee, they can either change the nominee under the policy altogether, or make the spouse an additional nominee"
Insurance,Term Insurance,Is it possible for an individual to take multiple policies in order to split up their total coverage amount?,"Yes, one can split up their desired amount of coverage by purchasing multiple policies. This can be done especially in cases where you have differing needs which can be taken care of by different types of insurance policies. However, doing so is not always recommended."
Insurance,Term Insurance,Will a term plan pay the death benefit if death has occurred within a year of plan commencement?,"Settlement of the death benefit will be done based on the insurer's terms and conditions. However, most insurers will pay the death benefit under a term plan even if the death has occurred before the policy has completed a year, starting from the date of coverage commencement."
Insurance,Term Insurance,Documents Required for Term Insurance?,"All insurance companies mandate that the policyholder submits a set of relevant documents while applying for term insurance. Document requirements may differ from insurer to insurer.

Following is the list of documents that the policyholder will have to provide when taking a term insurance plan.

PAN card
Proof of identity using documents like passport, Voter ID card, Aadhaar card, driving licence, letter from a public servant or authority verifying identity.
Proof of age with documents like passport, birth certificate, driving licence, PAN card, etc.
Proof of address with documents like utility bills (electricity, telephone), ration card, bank account statement, Voter ID card, or passport.
Proof of income with documents like Income tax returns, employer's certificate, or Income Tax assessment order.
Some recently clicked passport sized photos."
Insurance,Term Insurance,Why you should buy a term insurance policy?,"Term insurance is often neglected compared to other types of insurance. The primary reason for this is the misconception that term insurance doesn’t provide high rates of return or any benefits other than the “Sum Assured” on the policyholder’s death.

However, there are several advantages of buying a term insurance policy. These include:

Term Insurance
Security in terms of finances: Term insurance plans are one of the most effective ways to create financial security. This is especially relevant in the modern era, as a term insurance plan safeguards the financial stability of the policyholder’s dependents should the policyholder die.
Basic insurance product: Instead of choosing a plan with dozens of additional benefits and paying an exorbitant premium, choose term insurance with a stable, low-cost premium for nearly the same benefits.
Greater returns: Term plans also cater to the needs of all types of investors. Term insurance provides better returns without the hassle of managing investment funds, as the return on investment is usually much higher than the money put in. Both the Regular plan and the TROP plan offer up to 105% returns on premiums paid at maturity.
Coverage in times of needs: Under term insurance policies, you can choose the sum assured so that it provides you with sufficient coverage. Financial experts say that sufficient coverage is equal to 10 times your yearly income. It is important to note that inadequate coverage defeats the purpose of insurance. Similarly, it is important for you to evaluate your insurance coverage and identify areas where you can reduce costs to avoid over-insurance.
Survival benefits: While a regular term insurance plan does not have any survival benefits, a number of insurers have designed plans, i.e., Term Return of Premium Plans (TROPs), that offer survival benefits in the form of premium refunds at maturity.
Policy term: Term insurance plans offers the policyholder with a fixed term coverage. This indicates that they can take term insurance for a fixed duration wherein their family is financially protected. Following this, they can retire comfortably.
Low claim rejection: Claim rejections are observed to be lower if a life insurance policy has been active for more than 10 years.
Flexibility -:Most term plans provide you the choice of purchasing the coverage in person or online. Additionally, if the amount assured under the plan is Rs. 50 lakh or less, many insurers do not require health examinations.
Riders: Term plans can be enhanced through the use of riders that offer extra protection. These riders can be bought from the insurance company at nominal costs. Some of the riders available under term plans are accidental death benefit, critical illness, partial or permanent disability, waiver of premium, etc.
Low brokerage: In case policyholder opt opt for an offline term insurance policy, they will be paying the lowest amount as broker commission. Brokerage is usually calculated as a percentage of the premium paid. Since the premium for term insurance policies are usually low, the overhead of broker charges is also reduced. If they choose an online plan, there will be no broker fees as well.
Flexible payment options: Term insurance policies offer flexible premium payment options, allowing policyholders to choose a payment plan based on their convenience. Premiums can be either limited pay, single pay or regular pay. Policyholders who choose limited or regular pay plans can pay their premiums either monthly, quarterly, half-yearly, or annually.
Choice of plan: A number of insurers offer policyholders a choice when it comes to the type of plan they wish to opt for. Policyholders can choose between single or joint life plans, depending on their need. They can thus choose to extend coverage for dependent spouses or choose a plan exclusively for the breadwinner of the family.
Tax benefits: Last, but not least, premiums paid towards a term plan is eligible for tax benefits under Section 80C of the Income Tax Act. The death benefit received by the nominee under the plan is eligible for tax deductions under Section 10(10D) as well.
"
Insurance,Term Insurance,How does Term Insurance Work?,"A term insurance policy can be considered one of the most traditional forms of insurance. Most of the term insurance plans have a premium that increases in small amounts over a period of time. This is to account for a reduction in the value for money as years pass by. It also covers the increase in mortality risk and the extra levies imposed for a longer coverage term.

To understand how it works, have a look at it in these three situations:

Buying the policy: To be able to buy a term insurance policy you don't need to put aside tens of thousands of rupees every year. Many of the insurance policies can offer you a sum assured of up to Rs. 1 crore for a premium that could be as little as about Rs. 10,000 per annum (These are indicative figures. The actual premiums may differ depending on the sum assured and the insurance providers).
Keeping the policy: Just like any other insurance policy, you pay the premium towards these policies at a frequency chosen by you. These premiums can be paid every month, every quarter, every 6 months or once a year. They can also be paid as a lump sum instead of being paid at regular intervals.
Redeeming the benefits: Term insurance plans don't usually come with any maturity benefits. Term insurance plans don't typically come with any maturity benefits, except for term insurance with. Their main objective is to provide life insurance cover and that is exactly what they do. In case the policy holder passes away, the person who is named as the beneficiary of the policy will receive the sum assured.
The way it works is also one reason why you will notice that a lot of the time insurers refer to these plans as pure protection plans. There are no frills attached to the plan. You pay the premium and you get a fixed sum if case something happens to you."
Insurance,Term Insurance,Points to note while buying term insurance policy?,"Some important points to keep in mind while buying online term insurance are as follows:

Premium may vary in the future: The online price quote you receive is provided on the basis of an assumption that you carry normal risk in terms of health, occupation, and your family's medical history. After you submit all relevant documentation, the insurer may request you to undergo medical tests to arrive at the actual policy cost. In case the medical reports indicate that you are exposed to certain risks, the premium for your insurance may rise.
Do not let the policy move into lapsed status: The act of buying an online insurance plan is certainly a smart move. However, you should not let the policy lapse by missing premium payments. Since there would be no insurance agent reminding you of the premium payment due date, it is easy to miss renewing the insurance. It is advisable to send an ECS mandate to your bank so that the premium amount is automatically deducted on the due date. Setting up an alert on your mobile phone or computer is also a great way to remind yourself of the payment date.
Do not hide relevant facts while applying: If you are a smoker or use tobacco in any other form, your insurance premium will be 25%-30% higher than that of an individual who does not use tobacco. However, you should never hide this information in your application for insurance. At the time of a claim, if the insurer finds that the customer had concealed information, the claim will be rejected. The insurer may also cancel the policy, as applicable.
Your insurance policy is the backbone of your family's financial security. So, you should not get into a situation where the insurer annuls the plan.

Key Features of Term Insurance Policy
The key features of the term insurance policy are as follows:

Parameter

Feature

Death benefit

The nominee gets a lumpsum predefined amount in case of the policyholder's unfortunate death

Liability coverage

Most of the term insurance policies today provide extensive coverage against various liabilities like loans, mortgage, etc.

Tax benefits

The policyholder can avail tax benefits against term insurance policy

Add-on covers

Most of the term insurance policies today provide rider benefits or additional covers like waiver or premium, extra payout on accidental disability/death, etc.

Maturity benefits

Policy holder can avail maturity benefits on policy with return of premium option

Multiple payment frequency options

Most of the term insurance plans these days give the policyholder multiple payment frequency options like single, half-yearly quarterly, etc."
Insurance,Term Insurance,How to Choose a Term Insurance Plan?,"The market is flooded with term insurance policy options, with varying policy terms, benefits and sum assured amounts. Navigating this maze of policies and making sure you choose the one that fits best and meets your requirements is a difficult task.

The following points should be kept in mind when looking for a term insurance plan:

Reliability: It is generally advisable to consider the insurance company's reputation when choosing an insurance coverage. This is crucial since a term insurance policy is a long-term investment, and as a policyholder, you shouldn't be left behind if the company goes out of business or runs into problems. The FICO score of the business can be used to evaluate its stability and dependability.
Claim Settlement Ratio: The insurance company's claim settlement ratio serves as a measure of how many of the 100 claims it receives are ultimately resolved. Since a higher settlement ratio is viewed favourably, insurance companies with a strong claim settlement ratio are seen as more dependable and a better choice. The claims settlement ratio for each insurance company for a given year is made public by the IRDA.
Riders / Add-on covers: It is also important to take into account the riders that the insurance provider offers in addition to the standard policy. A secure insurance is one that includes both additional benefits and riders in addition to the standard coverage, and insurers that offer a large selection of riders are regarded as solid choices.
Cost: The amount you would be paying in terms of premium for the protection offered is a key factor in selecting a term insurance policy. Given that these policies can have a tenure of up to 20 years, the amount being paid annually as premium is a significant amount. Thus companies that offer reasonable protection for low premiums are preferred by policyholders.
Inflation: When selecting a term insurance policy, take into account factors like inflation. Term insurance policies are usually taken for 10-20 years, during which time inflation will erode the value of the rupee, resulting in lower returns at the time of maturity. To offset this, consider companies that offer plans where the cover increases by 5% - 10% annually to keep in line with inflation.
Policy comparison: It is advisable to compare insurance plans online so that you have a clear idea of the options available to you. The facility of policy comparison is offered by neutral third-party financial websites, free of cost. So, it is wise to make use of this facility as much as possible.
Engage an insurance advisor: In case you feel that you are unable to decide on a plan by yourself you can always seek the assistance of an insurance advisor for the same. This way you can be assured of expert insurance advice/suggestions that would enable you to pick the right policy.
Policy terms and conditions: It is vital that you read the terms and conditions within the policy document thoroughly before signing the dotted line. This enables you to understand the minute details pertaining to the inclusions and exclusions under the plan, so that there is no confusions in the future.
"
Insurance,Term Insurance,Term Insurance Premium Calculator,"Questions about the premium required for a specific policy are frequently directed at insurance firms that offer term insurance. A number of businesses feature premium calculators on their websites that permit policyholders to determine the premium they would pay for specific plans because the premium amount is crucial when choosing a policy. Anyone who wants to estimate the premium that will need to be paid can use the premium calculator facility.

You must enter information into the premium calculator for the majority of insurance providers, including your gender, date of birth, and whether you smoke or not. You must also enter the needed coverage quantity (based on your needs).

After doing so, a screen will show the premium amount that must be paid. The maximum policy term made available by the insurer would be used to determine the premium amount.

Under the amount due for the premium, there would be a display of any supplementary benefits that were part of the policy. A premium cost will be given based on the type of plan and the coverage it gives, and some insurers will provide an estimate based on the insurance plan chosen. If someone wants to choose a certain term insurance policy, the premium calculator is a great tool to use to verify their premium contribution."
Insurance,Term Insurance,What are the exclusions for Term Insurance Plans,"Term insurance plans cover a list of specific events and circumstances. Depending on the type of plan selected, this could be an exhaustive list. However, there are some exclusions that term insurance policies do not provide coverage for. Given below is a list of exclusions:

Suicide: Suicide is an exclusion in all term insurance policies. Insurers will not pay dependents in the event of the policyholder committing suicide within a year of purchasing the policy. In the case of group insurance, suicide will not be liable for compensation as well.
Death due to war, terrorism drought: Death due to natural calamities and acts of war are not covered under a term insurance plan.
Death due to actions by the insured: Accidental death brought on by the actions of the policyholder (such as extreme sports etc.) are not covered as these are viewed as self-imposed risks by the policyholder.
Death due to intoxication or narcotics: If the policyholder's death was brought about by or as a result of consumption of alcohol or narcotic substances, the insurance company is not liable to compensate dependents."
